statement,label_fr,label_en,barrier
statement_1,"Même si je voulais utiliser une méthode contraceptive moderne, son coût me rendrait cela impossible.","Even if I wanted to use a modern contraceptive method, its cost would make that impossible.",
statement_2,Les frais de transport pour me rendre dans un établissement de santé sont abordables pour moi.,Transport costs to get to a health facility are affordable for me.,
statement_3,"Pour les personnes comme moi, l'accès aux contraceptifs est réaliste, malgré les coûts potentiels.","For people like me, access to contraceptives is realistic, despite potential costs.",
statement_4,Il m'est trop difficile de me rendre dans un établissement de santé qui fournit des contraceptifs.,It's too difficult for me to get to a health facility that provides contraceptives.,
statement_5,Je suis convaincue que je pourrais choisir la méthode contraceptive qui me convient.,I'm confident I could choose the contraceptive method that suits me.,
statement_6,Je ne vois pas d'avantages évidents à utiliser des contraceptifs modernes.,I don't see any clear benefits to using modern contraceptives.,
statement_7,Je ne connais pas suffisamment les différentes méthodes contraceptives disponibles.,I don't know enough about the different contraceptive methods available.,
statement_8,"Si je voulais des contraceptifs, je ne saurais pas où m'adresser pour les obtenir.","If I wanted contraceptives, I wouldn't know where to go to get them.",
statement_9,Je ne pense pas avoir suffisamment d'informations pour utiliser correctement les contraceptifs.,I don't think I have enough information to use contraceptives correctly.,
statement_10,Un couple ne devrait pas utiliser de contraception avant d'avoir son premier enfant.,A couple should not use contraception before having their first child.,
statement_11,Il n'est pas nécessaire d'avoir beaucoup d'enfants pour réussir dans la vie.,It isn't necessary to have many children to succeed in life.,
statement_12,Une femme n'a pas besoin d'avoir davantage d'enfants que ses coépouses pour gagner le respect.,A woman doesn't need to have more children than her co-wives to earn respect.,
statement_13,Il est acceptable d'utiliser des contraceptifs avant même d'avoir atteint le nombre d'enfants souhaité.,It's acceptable to use contraceptives even before reaching the desired number of children.,
statement_14,"Si un enfant meurt, il est important d'en avoir un autre rapidement.","If a child dies, it's important to have another one quickly.",
statement_15,"Si une famille n'a pas encore eu d'enfant d'un certain genre, elle doit continuer à avoir des enfants jusqu'à ce qu'elle y parvienne.","If a family hasn't yet had a child of a certain gender, they should keep having children until they do.",
statement_16,"Il est important d'avoir beaucoup d'enfants, car ils apportent des avantages à la famille.","It's important to have many children, because they bring benefits to the family.",
statement_17,"Même si je souhaite avoir davantage d'enfants, je peux tout de même utiliser un moyen de contraception pour l'instant.","Even if I want to have more children, I can still use contraception for now.",
statement_18,Les contraceptifs sont dangereux car ils peuvent perturber les règles mensuelles des femmes.,Contraceptives are dangerous because they can disrupt women's periods.,
statement_19,Les contraceptifs provoquent souvent des saignements excessifs chez les femmes.,Contraceptives often cause excessive bleeding in women.,
statement_20,L'utilisation de contraceptifs peut rendre les règles plus douloureuses.,Using contraceptives can make periods more painful.,
statement_21,Les contraceptifs peuvent empêcher une femme de concevoir à nouveau.,Contraceptives can prevent a woman from conceiving again.,
statement_22,Les femmes qui utilisent des contraceptifs prennent souvent trop de poids.,Women who use contraceptives often gain too much weight.,
statement_23,Les contraceptifs peuvent faire perdre trop de poids à une femme.,Contraceptives can make a woman lose too much weight.,
statement_24,Les femmes qui utilisent des contraceptifs ne sont pas plus susceptibles de souffrir de complications lors de l'accouchement.,Women who use contraceptives are not more likely to suffer complications during childbirth.,
statement_25,Je ne crains pas que les préservatifs puissent se perdre à l'intérieur du corps.,I'm not worried that condoms could get lost inside the body.,
statement_26,Les contraceptifs ne causent pas la mort.,Contraceptives do not cause death.,
statement_27,Les contraceptifs ne provoquent pas de cancer.,Contraceptives do not cause cancer.,
statement_28,L'utilisation de contraceptifs peut entraîner des problèmes cardiaques soudains.,Using contraceptives can lead to sudden heart problems.,
statement_29,Les contraceptifs provoquent souvent des vertiges ou des maux de tête.,Contraceptives often cause dizziness or headaches.,
statement_30,Les implants et les Dispositifs Intra-utérins DIU (aussi appelés stérilets) ne se déplacent pas dangereusement à l'intérieur du corps.,"Implants and IUDs (also called ""coils"") do not move around dangerously inside the body.",
statement_31,Les contraceptifs peuvent provoquer des gonflements ou des inflammations dans le corps.,Contraceptives can cause swelling or inflammation in the body.,
statement_32,Les contraceptifs rendent les femmes fatiguées en permanence.,Contraceptives make women permanently tired.,
statement_33,Je suis convaincue que les contraceptifs “modernes” peuvent être utilisés en toute sécurité dans le corps.,"I'm confident that ""modern"" contraceptives can be used safely in the body.",
statement_34,Les contraceptifs peuvent provoquer une sécheresse pendant les rapports intimes.,Contraceptives can cause dryness during intimate relations.,
statement_35,Les contraceptifs peuvent provoquer l'apparition de boutons chez les femmes.,Contraceptives can cause pimples to appear on women.,
statement_36,L'utilisation de contraceptifs rend les femmes plus susceptibles de contracter des infections lorsqu'elles urinent dans des endroits sales.,Using contraceptives makes women more likely to get infections when urinating in dirty places.,
statement_37,Les contraceptifs affaiblissent l'utérus des femmes.,Contraceptives weaken women's uterus.,
statement_38,Les préservatifs ne réduisent pas le plaisir intime.,Condoms do not reduce intimate pleasure.,
statement_39,Les effets secondaires des contraceptifs sont gérables.,The side effects of contraceptives are manageable.,
statement_40,Il est possible d'utiliser des contraceptifs sans que les autres ne le sachent.,It's possible to use contraceptives without others knowing.,
statement_41,Ma religion autorise l'espacement des naissances grâce à des méthodes “modernes”.,"My religion allows birth spacing through ""modern"" methods.",
statement_42,Les chefs religieux que j'admire n'utilisent pas et n'encouragent pas la contraception.,The religious leaders I admire do not use or encourage contraception.,
statement_43,Les couples peuvent décider eux-mêmes de l'espacement entre les naissances de leurs enfants.,Couples can decide for themselves on the spacing between the births of their children.,
statement_44,Les familles peuvent planifier les besoins de leurs enfants tout en continuant à faire confiance à Dieu.,Families can plan for their children's needs while still trusting in God.,
statement_45,L'utilisation de contraceptifs va à l'encontre de ma foi.,Using contraceptives goes against my faith.,
statement_46,Les méthodes “traditionnelles” de prévention de la grossesse sont plus acceptables que les méthodes “modernes”.,"""Traditional"" methods of preventing pregnancy are more acceptable than ""modern"" methods.",
statement_47,Une femme doit donner naissance à tous les enfants qu'elle porte en elle.,A woman must give birth to all the children she carries.,
statement_48,L'utilisation de contraceptifs n'encourage pas la promiscuité/l’adultère.,Using contraceptives does not encourage promiscuity/adultery.,
statement_49,Les membres de ma communauté me regarderaient de haut si j'utilisais des contraceptifs.,Members of my community would look down on me if I used contraceptives.,
statement_50,Je peux utiliser un contraceptif même si mon mari n'est pas d'accord.,I can use a contraceptive even if my husband disagrees.,
statement_51,Mes parents doivent donner leur accord pour que je puisse utiliser un moyen de contraception.,My parents must give their approval for me to be able to use a contraceptive method.,
statement_52,Les frères et sœurs ne devraient pas influencer la décision d'une femme d'utiliser ou non un moyen de contraception.,Siblings should not influence a woman's decision about whether or not to use a contraceptive method.,
