list_name,value,label_fr,label_en
barriers,-99,Je préfère ne pas répondre,Prefer not to answer
barriers,-88,Je ne sais pas,I don’t know
barriers,-22,"Autres raisons non mentionnées ici, Veuillez préciser",Others not mentioned here
barriers,0,Non actif sexuellement,Not sexually active
barriers,1,Manque de moyens financiers pour accéder aux contraceptifs : les produits sont trop chers,Lack of funding to access contraceptives: Products are too expensive
barriers,2,Manque de moyens financiers pour accéder aux contraceptifs : non spécifié,Lack of funding to access contraceptives: Unspecified
barriers,3,Manque d'accès : l’établissement de santé est trop éloigné,Lack of access: Health center is too far away
barriers,4,Manque de connaissances : ne sait pas comment choisir une méthode adaptée,Lack of knowledge: On how to choose a suitable method
barriers,5,Manque de connaissances : ne connaît pas les avantages,Lack of knowledge: On benefits
barriers,6,Manque de connaissances : ne connaît pas les différentes méthodes disponibles,Lack of knowledge: On method options
barriers,7,Manque de connaissances : ne sait pas où et comment y accéder,Lack of knowledge: On where and how to access
barriers,8,Manque de connaissances : non spécifié,Lack of knowledge: Unspecified
barriers,9,Désir d'avoir des enfants : nouveau couple souhaitant avoir un premier enfant,Desire to have children: New couple seeking first child(ren)
barriers,10,Désir d'avoir des enfants : considère les enfants comme une réussite,Desire to have children: Seeing children as an achievement
barriers,11,Désir d'avoir des enfants : concurrence entre coépouses,Desire to have children: Competition among co-wives
barriers,12,Désir d'avoir des enfants : n'a pas fini d'avoir des enfants,Desire to have children: Not done with childbearing
barriers,13,Désir d'avoir des enfants : nous voulons remplacer un enfant décédé,Desire to have children: Replacing children who passed
barriers,14,Désir d'avoir des enfants : nous recherchons un genre spécifique,Desire to have children: Seeking a specific gender
barriers,15,Désir d'avoir des enfants : nous tirons profit du fait d'avoir davantage d'enfants,Desire to have children: Benefit from children
barriers,16,Désir d'avoir des enfants : non spécifié,Desire to have more children: Unspecified
barriers,17,Peur des effets secondaires : Peur d'une modification du cycle menstruel,Fear of side effects: Fear of changes in bleeding pattern
barriers,18,Peur des effets secondaires : Peur d'une augmentation des saignements,Fear of side effects: Fear of increase in bleeding
