,label,proportion,split,group
0,Nous voulons espacer les naissances entre nos enfants/Mi jlo na hɛn vi mitɔn lɛ ɖo vo,0.7081079338288249,none,all
1,Autre : veuillez préciser/ Ɖevo: mi jlo na ɖɔ,0.20103448910555494,none,all
2,Nous ne voulons pas avoir d'autres enfants/ Mi jlo na ji vi ɖevo lɛ a,0.07042167553049133,none,all
3,Je préfère ne pas répondre/ Un jlo na yigbe ǎ,0.014272347849781914,none,all
4,Je ne sais pas/Un tuun a,0.006163553685346838,none,all
5,Nous voulons espacer les naissances entre nos enfants/Mi jlo na hɛn vi mitɔn lɛ ɖo vo,0.0,use,future_user
6,Autre : veuillez préciser/ Ɖevo: mi jlo na ɖɔ,0.0,use,future_user
7,Nous ne voulons pas avoir d'autres enfants/ Mi jlo na ji vi ɖevo lɛ a,0.0,use,future_user
8,Je préfère ne pas répondre/ Un jlo na yigbe ǎ,0.0,use,future_user
9,Je ne sais pas/Un tuun a,0.0,use,future_user
10,Nous voulons espacer les naissances entre nos enfants/Mi jlo na hɛn vi mitɔn lɛ ɖo vo,0.0,use,nonuser
11,Autre : veuillez préciser/ Ɖevo: mi jlo na ɖɔ,0.0,use,nonuser
12,Nous ne voulons pas avoir d'autres enfants/ Mi jlo na ji vi ɖevo lɛ a,0.0,use,nonuser
13,Je préfère ne pas répondre/ Un jlo na yigbe ǎ,0.0,use,nonuser
14,Je ne sais pas/Un tuun a,0.0,use,nonuser
15,Nous voulons espacer les naissances entre nos enfants/Mi jlo na hɛn vi mitɔn lɛ ɖo vo,0.0,use,past_user
16,Autre : veuillez préciser/ Ɖevo: mi jlo na ɖɔ,0.0,use,past_user
17,Nous ne voulons pas avoir d'autres enfants/ Mi jlo na ji vi ɖevo lɛ a,0.0,use,past_user
18,Je préfère ne pas répondre/ Un jlo na yigbe ǎ,0.0,use,past_user
19,Je ne sais pas/Un tuun a,0.0,use,past_user
20,Nous voulons espacer les naissances entre nos enfants/Mi jlo na hɛn vi mitɔn lɛ ɖo vo,0.7081079338288249,use,user
21,Autre : veuillez préciser/ Ɖevo: mi jlo na ɖɔ,0.20103448910555494,use,user
22,Nous ne voulons pas avoir d'autres enfants/ Mi jlo na ji vi ɖevo lɛ a,0.07042167553049133,use,user
23,Je préfère ne pas répondre/ Un jlo na yigbe ǎ,0.014272347849781914,use,user
24,Je ne sais pas/Un tuun a,0.006163553685346838,use,user
25,Autre : veuillez préciser/ Ɖevo: mi jlo na ɖɔ,0.3625139232356828,gender,Femme Nyɔnu
26,Je ne sais pas/Un tuun a,0.0012831988278187256,gender,Femme Nyɔnu
27,Je préfère ne pas répondre/ Un jlo na yigbe ǎ,0.016523220123851906,gender,Femme Nyɔnu
28,Nous ne voulons pas avoir d'autres enfants/ Mi jlo na ji vi ɖevo lɛ a,0.06835215859408109,gender,Femme Nyɔnu
29,Nous voulons espacer les naissances entre nos enfants/Mi jlo na hɛn vi mitɔn lɛ ɖo vo,0.5513274992185655,gender,Femme Nyɔnu
30,Autre : veuillez préciser/ Ɖevo: mi jlo na ɖɔ,0.0303904636610102,gender,Homme Sunnu
31,Je ne sais pas/Un tuun a,0.0113208878249706,gender,Homme Sunnu
32,Je préfère ne pas répondre/ Un jlo na yigbe ǎ,0.011893729744771122,gender,Homme Sunnu
33,Nous ne voulons pas avoir d'autres enfants/ Mi jlo na ji vi ɖevo lɛ a,0.07260864567103643,gender,Homme Sunnu
34,Nous voulons espacer les naissances entre nos enfants/Mi jlo na hɛn vi mitɔn lɛ ɖo vo,0.8737862730982117,gender,Homme Sunnu
35,Autre : veuillez préciser/ Ɖevo: mi jlo na ɖɔ,0.0,age_group,16-20
36,Je ne sais pas/Un tuun a,0.0,age_group,16-20
37,Je préfère ne pas répondre/ Un jlo na yigbe ǎ,0.0,age_group,16-20
38,Nous ne voulons pas avoir d'autres enfants/ Mi jlo na ji vi ɖevo lɛ a,0.16883496721162566,age_group,16-20
39,Nous voulons espacer les naissances entre nos enfants/Mi jlo na hɛn vi mitɔn lɛ ɖo vo,0.8311650327883742,age_group,16-20
40,Autre : veuillez préciser/ Ɖevo: mi jlo na ɖɔ,0.02609519791816086,age_group,21-30
41,Je ne sais pas/Un tuun a,0.002650596312020155,age_group,21-30
42,Je préfère ne pas répondre/ Un jlo na yigbe ǎ,0.04216038829453388,age_group,21-30
43,Nous ne voulons pas avoir d'autres enfants/ Mi jlo na ji vi ɖevo lɛ a,0.030802230252505128,age_group,21-30
44,Nous voulons espacer les naissances entre nos enfants/Mi jlo na hɛn vi mitɔn lɛ ɖo vo,0.8982915872227798,age_group,21-30
45,Autre : veuillez préciser/ Ɖevo: mi jlo na ɖɔ,0.2708683036690315,age_group,31-45
46,Je ne sais pas/Un tuun a,0.0076637148299576316,age_group,31-45
47,Je préfère ne pas répondre/ Un jlo na yigbe ǎ,0.005270601527177098,age_group,31-45
48,Nous ne voulons pas avoir d'autres enfants/ Mi jlo na ji vi ɖevo lɛ a,0.0796156074717718,age_group,31-45
49,Nous voulons espacer les naissances entre nos enfants/Mi jlo na hɛn vi mitɔn lɛ ɖo vo,0.636581772502062,age_group,31-45
