,region,persona,age,gender,occupation,religion,life_goals,count,weighted_count
0,North-East,0,30.0,Homme Sunnu,"Fermier, agriculteur, pêcheur/ Glesí, jikpátɔ́, hwèhutɔ́",Islam / Islam,Construire / posséder une maison/ xwé gbá/ɖó|Une bonne santé pour les membres de ma famille/ Lanmɛ ɖagbe nu mɛ e ɖo xwendo ce mɛ lɛ|Avoir un travail meilleur / agréable / respecté/ Mi ɖo azɔ ɖagbe/e vivi/e nɔ si,77,163260.01253960613
1,North-East,1,35.0,Femme Nyɔnu,Vendeur ou petit commerçant  / Nusatɔ alo ajɔwatɔ kpɛvi /,Islam / Islam,Avoir davantage d'enfants/ Mi ji vi gege|Prospérité financière/ akwɛ́ ɖiɖó|Une bonne/meilleure santé personnelle/ Lanmɛ ɖagbe/lanmɛ ɖagbe mɛɖesunɔ tɔn,73,147837.70440113248
2,North-East,2,25.0,Homme Sunnu,Unknown,Islam / Islam,Avoir un revenu stable/ Nɔ ɖó akwɛ e nɔ nɔ ayǐ é ɖé|Trouver un emploi/Mon Azɔ̌,9,18275.69640485327
3,North-West,0,30.0,Femme Nyɔnu,Vendeur ou petit commerçant  / Nusatɔ alo ajɔwatɔ kpɛvi /,Islam / Islam,"Aider les autres/ alɔdido mɛ ɖevo lɛ|Des enfants bien élevés/ Vi e nɔ wa nu ganji|Avoir un travail meilleur / agréable / respecté/ Mi ɖo azɔ ɖagbe/e vivi/e nɔ si|Davantage de temps pour me reposer ou moins de stress/ Hwenu gege bo nɔ gbɔjɛ bo nɔ hɛn nu ɖagbe wa nukúnkpédómɛwu|Un(e) conjoint(e) aimant(e), responsable et attentionné(e)/ Asú alǒ asì e ɖó wanyiyi, bo nɔ kpé nukún dó mɛ wu, bo nɔ lɛ́ kpé nukún dó mɛ wu é|Une longue vie Gbɛ gaga|Une famille paisible/ Xwédo fífá ɖé .|Des enfants pouvant aller à l'école/ Vi e sixu yi azɔmɛ lɛ",26,143042.58374981
4,North-West,1,35.0,Homme Sunnu,"Fermier, agriculteur, pêcheur/ Glesí, jikpátɔ́, hwèhutɔ́",Islam / Islam,Avoir toujours assez de nourriture pour mes enfants /Nuɖuɖu sukpɔ nu vi ce lɛ hwebinu|Posséder une voiture ou une moto/ mɔ̌to alǒ zokɛkɛ́ ɖiɖó|Construire / posséder une maison/ xwé gbá/ɖó,19,35383.49624909775
5,North-West,2,32.0,Homme Sunnu,Vendeur ou petit commerçant  / Nusatɔ alo ajɔwatɔ kpɛvi /,Islam / Islam,"Avoir un revenu stable/ Nɔ ɖó akwɛ e nɔ nɔ ayǐ é ɖé|Un(e) conjoint(e) aimant(e), responsable et attentionné(e)/ Asú alǒ asì e ɖó wanyiyi, bo nɔ kpé nukún dó mɛ wu, bo nɔ lɛ́ kpé nukún dó mɛ wu é|Visiter La Mecque ou d'autres lieux de pèlerinage religieux/ yiyi ɖò Mɛka alǒ fí ɖevo e è nɔ yì sɛ̀n sinsɛn ɖè lɛ é",5,8164.534191582949
6,Mid-South,0,45.0,Homme Sunnu,"Fermier, agriculteur, pêcheur/ Glesí, jikpátɔ́, hwèhutɔ́",Traditionnelle/ Akɔta,Une bonne santé pour les membres de ma famille/ Lanmɛ ɖagbe nu mɛ e ɖo xwendo ce mɛ lɛ|Prospérité financière/ akwɛ́ ɖiɖó|Une bonne/meilleure santé personnelle/ Lanmɛ ɖagbe/lanmɛ ɖagbe mɛɖesunɔ tɔn,85,149069.94461177057
7,Mid-South,1,25.0,Femme Nyɔnu,Vendeur ou petit commerçant  / Nusatɔ alo ajɔwatɔ kpɛvi /,Autre/Ðevo,Prospérité financière/ akwɛ́ ɖiɖó|Avoir davantage d'enfants/ Mi ji vi gege|Une longue vie Gbɛ gaga,90,222267.9165472499
8,Mid-South,2,27.0,Homme Sunnu,Vendeur ou petit commerçant  / Nusatɔ alo ajɔwatɔ kpɛvi /,Christianisme/ Klisanwun,Prospérité financière/ akwɛ́ ɖiɖó|Une bonne santé pour les membres de ma famille/ Lanmɛ ɖagbe nu mɛ e ɖo xwendo ce mɛ lɛ|Une bonne/meilleure santé personnelle/ Lanmɛ ɖagbe/lanmɛ ɖagbe mɛɖesunɔ tɔn,34,30196.156440650084
9,South-South,0,30.0,Femme Nyɔnu,Vendeur ou petit commerçant  / Nusatɔ alo ajɔwatɔ kpɛvi /,Christianisme/ Klisanwun,Une bonne santé pour les membres de ma famille/ Lanmɛ ɖagbe nu mɛ e ɖo xwendo ce mɛ lɛ|Prospérité financière/ akwɛ́ ɖiɖó|Autre : veuillez préciser/ Ðevo: kɛnklɛn bo ɖɔ,213,66393.25514577543
10,South-South,1,40.0,Homme Sunnu,Artisan/ Alɔnǔwǎtɔ́,Christianisme/ Klisanwun,Une bonne/meilleure santé personnelle/ Lanmɛ ɖagbe/lanmɛ ɖagbe mɛɖesunɔ tɔn|Une bonne santé pour les membres de ma famille/ Lanmɛ ɖagbe nu mɛ e ɖo xwendo ce mɛ lɛ|Prospérité financière/ akwɛ́ ɖiɖó,143,71206.67154835368
11,South-South,2,35.0,Homme Sunnu,Autre,Christianisme/ Klisanwun,Une longue vie Gbɛ gaga|Une bonne santé pour les membres de ma famille/ Lanmɛ ɖagbe nu mɛ e ɖo xwendo ce mɛ lɛ|Prospérité financière/ akwɛ́ ɖiɖó,53,47775.68395396095
