,response,count,group
0,Mon contraceptif a toujours été disponible/ Nǔ e un nɔ zán dó glɔ́n ali nú vǐjiji é ɖò te hwebǐnu,220,users
1,Un flin ă,43,users
2,Je me suis rendu dans un établissement public/ Un yì fí e mɛ bǐ nɔ kplé ɖè é ɖé,34,users
3,Je préfère ne pas répondre/ Un yí wǎn nú xósin ma na,31,users
4,Autre : veuillez préciser/ Ðevo: kɛnklɛn bo ɖɔ,28,users
5,Je suis reparti sans rien et j'ai réessayé plus tard/ Un gosin finɛ nǔɖe mɛvo bo lɛ́vɔ tɛ́n kpɔ́n ɖò nukɔnmɛ,24,users
6,J'ai utilisé une autre méthode contraceptive/ Un zán wlɛnwín ɖevo bo na dó glɔ́n ali nú vǐjiji,23,users
7,J'ai arrêté d'utiliser des contraceptifs/ Un sɔ́ nɔ zán amasin e nɔ glɔ́n ali nú vǐjiji lɛ é ǎ,17,users
8,"Je me suis rendu chez un prestataire privé (pharmacie, chimiste ou clinique)/ Un yì dotóoxwé e nɔ kpé nukún dó mɛ wu é ɖé gɔ́n (atínkɛ́nxɔsa, amasinxɔsa, alǒ dotóoxwé)",7,users
9,Un flin ă,2,nonusers
10,J'ai arrêté d'utiliser des contraceptifs/ Un sɔ́ nɔ zán amasin e nɔ glɔ́n ali nú vǐjiji lɛ é ǎ,2,nonusers
11,0.0,1,nonusers
12,-99.0,1,nonusers
13,Je suis reparti sans rien et j'ai réessayé plus tard/ Un gosin finɛ nǔɖe mɛvo bo lɛ́vɔ tɛ́n kpɔ́n ɖò nukɔnmɛ,1,nonusers
14,"Je me suis rendu chez un prestataire privé (pharmacie, chimiste ou clinique)/ Un yì dotóoxwé e nɔ kpé nukún dó mɛ wu é ɖé gɔ́n (atínkɛ́nxɔsa, amasinxɔsa, alǒ dotóoxwé)",1,nonusers
15,Mon contraceptif a toujours été disponible/ Nǔ e un nɔ zán dó glɔ́n ali nú vǐjiji é ɖò te hwebǐnu|Autre : veuillez préciser/ Ðevo: kɛnklɛn bo ɖɔ,1,nonusers
16,Je préfère ne pas répondre/ Un yí wǎn nú xósin ma na,1,nonusers
17,Mon contraceptif a toujours été disponible/ Nǔ e un nɔ zán dó glɔ́n ali nú vǐjiji é ɖò te hwebǐnu,1,nonusers
